# HSK 3 sentence stories. Max 8 sentences per card.
# Target: 500/500 unique HSK3 words (HSK1–3 vocab only).
# @title Chinese|Thai · sentence lines Chinese|Thai

@level 3
@card
@title 周末去公园|สุดสัปดาห์ที่สวนสาธารณะ
以下是我的句子。|ด้านล่างคือประโยคของฉัน
以上我说了很多。|ข้างบนฉันพูดไปเยอะแล้ว
以外还有别的可能。|นอกจากนี้ยังมีทางอื่น
最后我决定回国。|สุดท้ายฉันตัดสินใจกลับประเทศ
@card
@title 同样一样|เหมือนกันแบบเดียวกัน
这两辆汽车一样新。|รถยนต์สองคันใหม่เหมือนกัน
颜色不同，大小差不多。|สีต่างกัน ขนาดเกือบเหมือน
又快又安静。|ทั้งเร็วทั้งเงียบ
车也挺好。|รถก็ค่อนข้างดี
公斤差不多。|กิโลกรัมเกือบเท่ากัน
角也不贵。|เจี่ยวก็ไม่แพง
只是有点儿贵。|แค่แพงหน่อย
买一辆就行。|ซื้อคันเดียวก็พอ
@card
@title 突然下雨|ฝนตกกะทันหัน
刚才还好好的。|เมื่อกี้ยังดีอยู่
突然下起大雨。|ทันใดนั้นฝนตกหนัก
我没带伞，好着急。|ฉันไม่พกร่ม ร้อนใจมาก
路变得很脏。|ถนนกลายเป็นสกปรกมาก
我差一点哭了。|ฉันเกือบร้องไห้
好在有人帮助。|โชคดีที่มีคนช่วย
借把伞给我。|ยืมร่มให้ฉัน
谢谢你的帮助！|ขอบคุณที่ช่วย!
@card
@title 带东西出发|พกของออกเดินทาง
出发以前把东西带好。|ก่อนออกเดินทางเอาของให้พร้อม
护照、伞和雨衣。|พาสปอร์ต ร่ม และเสื้อกันฝน
还有相机放在箱子里。|กล้องก็ใส่ในกล่อง
卡和钱放在身边。|บัตรกับเงินเก็บข้างตัว
地图也带上。|แผนที่ก็เอามาด้วย
行李不要太多。|กระเป๋าอย่ามากเกินไป
检票口在东边。|ช่องตรวจตั๋วอยู่ตะวันออก
准备好就可以走了。|พร้อมแล้วก็ไปได้
@card
@title 遇见名人|พบเจอคนดัง
昨天在街口遇见名人。|เมื่อวานพบคนดังที่ทางแยก
其实他也挺好。|จริงๆ แล้วเขาก็ดี
热情地跟我们聊天儿。|คุยเล่นกับพวกเราอย่างอบอุ่น
拍照以后还说话。|ถ่ายรูปแล้วก็คุย
我们感到很高兴。|พวกเรารู้สึกดีใจมาก
后来把照片发上网。|ต่อมาเอารูปขึ้นเน็ต
朋友们都很高兴。|เพื่อนๆ ทุกคนดีใจมาก
这真是有意思的故事。|นี่เรื่องน่าสนใจจริง
@card
@title 聪明努力|ฉลาดและพยายาม
聪明的人也不一定容易。|คนฉลาดก็ไม่จำเป็นจะง่าย
必须努力才行。|ต้องพยายามถึงจะได้
难过的时候要坚持。|ตอนเสียใจต้องยืนหยัด
机会总是给有准备的人。|โอกาสมีให้คนที่พร้อมเสมอ
相信自己就能行。|เชื่อตัวเองก็ทำได้
成绩会越来越好。|คะแนนจะยิ่งดีขึ้น
水平又会提高。|ระดับจะสูงขึ้นอีก
最后一定能完成。|สุดท้ายต้องทำให้เสร็จแน่นอน
@card
@title 北方冬天|หน้าหนาวภาคเหนือ
北方的冬天又干又冷。|หน้าหนาวภาคเหนือทั้งแห้งทั้งหนาว
河上有冰。|บนแม่น้ำมีน้ำแข็ง
大衣和鞋都要新。|เสื้อโค้ทกับรองเท้าต้องใหม่
风刮得脸很疼。|ลมพัดจนเจ็บหน้า
可是雪真好看。|แต่หิมะสวยจริงๆ
拍照也很好。|ถ่ายรูปก็ดีมาก
回家喝热水最舒服。|กลับบ้านดื่มน้ำร้อนสบายที่สุด
然后睡觉。|แล้วก็นอน
@card
@title 最后补词|คำศัพท์ปิดท้าย
矮个子站在前面。|คนตัวเตี้ยยืนอยู่ข้างหน้า
爱人送我一斤糖。|คู่รักให้น้ำตาลหนึ่งจิน
蓝裙子很合适。|กระโปรงน้ำเงินพอดีมาก
旧地图换新的。|แผนที่เก่าเปลี่ยนใหม่
毛很多的猫很可爱。|แมวขนเยอะน่ารักมาก
嘴上说没问题。|ปากพูดว่าไม่มีปัญหา
脚上穿着新鞋。|เท้าใส่รองเท้าใหม่
咱们最好现在出发。|พวกเราควรออกเดินทางตอนนี้
@card
@title 搬家那天|วันย้ายของ
我们搬家，请朋友帮忙搬东西。|พวกเราย้ายบ้าน ให้เพื่อนช่วยย้ายของ
报纸上写着新闻。|ในหนังสือพิมพ์มีข่าว
被子被我洗干净了。|ผ้าห่มถูกฉันซักสะอาดแล้ว
北边的房间又安静又好。|ห้องด้านเหนือทั้งเงียบทั้งดี
常见的花有好多颜色。|ดอกไม้ที่พบบ่อยมีหลายสี
我常常去那个地方。|ฉันไปที่นั่นบ่อยๆ
除了他，其他人都来了。|นอกจากเขา คนอื่นมากันหมด
大人带孩子坐船。|ผู้ใหญ่พาเด็กนั่งเรือ
@card
@title 出生和成长|เกิดและเติบโต
我出生在东方的城市。|ฉันเกิดที่เมืองทางตะวันออก
大概过了十年。|ประมาณสิบปีผ่านไป
当然会说汉语。|แน่นอนพูดภาษาจีนได้
他懂得很多历史。|เขาเข้าใจประวัติศาสตร์เยอะ
放学以后练习对话。|เลิกเรียนแล้วฝึกบทสนทนา
我家附近有公园。|ใกล้บ้านมีสวน
水果一公斤多少钱？|ผลไม้กิโลกรัมละเท่าไหร่
渴了或饿了都可以休息。|กระหายหรือหิวก็พักได้
@card
@title 节假日子|วันสำคัญและฤดูกาล
这一季我们很忙。|ฤดูกาลนี้พวกเรายุ่งมาก
节日的节目很多。|รายการเทศกาลมีเยอะ
他们结婚很开心。|พวกเขาแต่งงานและมีความสุขมาก
几乎每天见面。|เกือบพบกันทุกวัน
经过认真准备就行。|ผ่านการเตรียมอย่างจริงจังก็พอ
看来大家都满意。|ดูเหมือนทุกคนพอใจ
一刻也不能急。|แม้แค่สิบห้านาทีก็อย่ารีบ
可她不怕难过。|แต่เธอไม่กลัวความเสียใจ
@card
@title 老在面前|คนเฒ่าตรงหน้า
老人坐在我面前。|ผู้สูงอายุนั่งตรงหน้าฉัน
我们聊天儿很久。|พวกเราคุยเล่นนานมาก
男人女人都可以参加。|ผู้ชายผู้หญิงเข้าร่วมได้หมด
别怕，试一试。|อย่ากลัว ลองดู
用铅笔写名字。|เขียนชื่อด้วยดินสอ
其他人也认得他。|คนอื่นก็รู้จักเขา
上衣和鞋都新。|เสื้อนอกกับรองเท้าใหม่หมด
身高一共一米七。|ส่วนสูงรวมหนึ่งเมตรเจ็ด
@card
@title 为了健康|เพื่อสุขภาพ
为了健康，我天天锻炼。|เพื่อสุขภาพ ฉันออกกำลังทุกวัน
他为我办事。|เขาทำธุระให้ฉัน
卫生间要安静。|ห้องน้ำต้องเงียบ
像太阳一样热。|ร้อนเหมือนพระอาทิตย์
新鲜的水果最好。|ผลไม้สดดีที่สุด
新学期从九月开始。|เทอมใหม่เริ่มกันยายน
我家养了一只猫。|บ้านฉันเลี้ยงแมวหนึ่งตัว
一块儿去园里照照片。|ไปถ่ายรูปในสวนด้วยกัน
@card
@title 种总中|ชนิด รวม และกลาง
这种花最常见。|ดอกแบบนี้พบบ่อยที่สุด
中间种了树。|ตรงกลางปลูกต้นไม้
一共有三种。|รวมมีสามชนิด
我遇到老朋友了。|ฉันพบเพื่อนเก่าแล้ว
受欢迎的地方人很多。|ที่ที่ได้รับความนิยมคนเยอะ
我们中午吃饭。|พวกเรากินข้าวเที่ยง
老先生看起来很急。|คุณลุงดูรีบมาก
当然可以一块儿走。|แน่นอนไปด้วยกันได้
@card
@title 最后五个|คำสุดท้ายห้าคำ
如果你渴的话，就喝水。|ถ้าคุณกระหาย ก็ดื่มน้ำ
房间里没有电，开不了灯。|ในห้องไม่มีไฟฟ้า เปิดไฟไม่ได้
这一节课很有意思。|คาบเรียนนี้สนุกมาก
我们聊了一个小时。|พวกเราคุยกันหนึ่งชั่วโมง
中间有一个节日。|ตรงกลางมีเทศกาลหนึ่ง
节是重要的日子。|เทศกาลเป็นวันสำคัญ
电梯需要电。|ลิฟต์ต้องใช้ไฟฟ้า
用的话，我们就出发。|ถ้าจะใช้ พวกเราก็ออกเดินทาง
@card
@title 中和总|กลางและรวม
请把中写在中间。|กรุณาเขียน中ไว้ตรงกลาง
他总觉得中文难。|เขารู้สึกเสมอว่าภาษาจีนยาก
总是学中午的课文。|มักเรียนบทเรียนตอนเที่ยง
中间有一个中。|ตรงกลางมีตัว中หนึ่งตัว
一共总有三种办法。|รวมแล้วมีสามวิธี
从中到北都学了。|จากกลางถึงเหนือเรียนหมดแล้ว
总比以前好。|โดยรวมดีกว่าเมื่อก่อน
终于明白了这个中。|ในที่สุดก็เข้าใจ中นี้แล้ว
